,filepath,label
16,../Data/preprocessed\cat - abyssinian\Abyssinian_105_jpg.rf.96abbfa2d543bf198ffc01ed40c1142a.jpg,cat - abyssinian
17,../Data/preprocessed\cat - abyssinian\Abyssinian_106_jpg.rf.56f1035bb0506b624c5d37f4c94b2773.jpg,cat - abyssinian
18,../Data/preprocessed\cat - abyssinian\Abyssinian_106_jpg.rf.6cb004ae6cb3c7324d1be7557a007555.jpg,cat - abyssinian
19,../Data/preprocessed\cat - abyssinian\Abyssinian_106_jpg.rf.b64900ef981b5b6bfab0c0101f6e1783.jpg,cat - abyssinian
20,../Data/preprocessed\cat - abyssinian\Abyssinian_109_jpg.rf.2f4e7233d03835a164e341359e3e6020.jpg,cat - abyssinian
21,../Data/preprocessed\cat - abyssinian\Abyssinian_109_jpg.rf.597b4c241cdc101f8987cc66b0de4645.jpg,cat - abyssinian
22,../Data/preprocessed\cat - abyssinian\Abyssinian_109_jpg.rf.96394762c2615cc73730bed45cf336f9.jpg,cat - abyssinian
23,../Data/preprocessed\cat - abyssinian\Abyssinian_10_jpg.rf.2f39418f7b6be953dcd592e35c7b4e93.jpg,cat - abyssinian
24,../Data/preprocessed\cat - abyssinian\Abyssinian_10_jpg.rf.9ab0e17bb567ebbe25ee7bc23ff74d9d.jpg,cat - abyssinian
25,../Data/preprocessed\cat - abyssinian\Abyssinian_10_jpg.rf.fa5ca05dc39500e35eaeb60d6461885c.jpg,cat - abyssinian
26,../Data/preprocessed\cat - abyssinian\Abyssinian_110_jpg.rf.2a5740b2578ecb55eccd5115191a0576.jpg,cat - abyssinian
27,../Data/preprocessed\cat - abyssinian\Abyssinian_110_jpg.rf.4693cbb31687fd8ea28ab12207529c17.jpg,cat - abyssinian
28,../Data/preprocessed\cat - abyssinian\Abyssinian_110_jpg.rf.e228956acfc806fa8c2f02eb8f470ed5.jpg,cat - abyssinian
29,../Data/preprocessed\cat - abyssinian\Abyssinian_111_jpg.rf.2b9bc04a13b97bfbf3ffcf0f935cf479.jpg,cat - abyssinian
30,../Data/preprocessed\cat - abyssinian\Abyssinian_111_jpg.rf.5af88667fe88f2f938accbcde73a2965.jpg,cat - abyssinian
31,../Data/preprocessed\cat - abyssinian\Abyssinian_111_jpg.rf.d7c6daf4cab931d2d657bc1d06c7e4cb.jpg,cat - abyssinian
32,../Data/preprocessed\cat - abyssinian\Abyssinian_113_jpg.rf.2fd50efa9807c95586d4619b74c388c4.jpg,cat - abyssinian
33,../Data/preprocessed\cat - abyssinian\Abyssinian_113_jpg.rf.a40245d3a76b4c69ffc80dac678acfb0.jpg,cat - abyssinian
34,../Data/preprocessed\cat - abyssinian\Abyssinian_113_jpg.rf.e54358674fc705b68f3b066c3339a713.jpg,cat - abyssinian
35,../Data/preprocessed\cat - abyssinian\Abyssinian_114_jpg.rf.2cae266db58af1c0b70239d68524c906.jpg,cat - abyssinian
36,../Data/preprocessed\cat - abyssinian\Abyssinian_114_jpg.rf.3b5442d96dd45474e568b586a52742dd.jpg,cat - abyssinian
37,../Data/preprocessed\cat - abyssinian\Abyssinian_114_jpg.rf.895c148ea40fe1213a8fe3f428dd75c2.jpg,cat - abyssinian
38,../Data/preprocessed\cat - abyssinian\Abyssinian_115_jpg.rf.28dd8abc361a9dbf1772973107e3ad88.jpg,cat - abyssinian
39,../Data/preprocessed\cat - abyssinian\Abyssinian_115_jpg.rf.772cb98da8190b5e21b7fb936c7058a0.jpg,cat - abyssinian
40,../Data/preprocessed\cat - abyssinian\Abyssinian_115_jpg.rf.c7763cf545bc038580f8ad1eafdb1c3a.jpg,cat - abyssinian
41,../Data/preprocessed\cat - abyssinian\Abyssinian_116_jpg.rf.431cf11d7b373cfc9174c9e4b49bbd28.jpg,cat - abyssinian
42,../Data/preprocessed\cat - abyssinian\Abyssinian_116_jpg.rf.b142f2cf468feeded0fb6ab70b7d05d3.jpg,cat - abyssinian
43,../Data/preprocessed\cat - abyssinian\Abyssinian_116_jpg.rf.e63d021d25f4565aa3b6c1e64ff56ad5.jpg,cat - abyssinian
44,../Data/preprocessed\cat - abyssinian\Abyssinian_117_jpg.rf.0acb38406b61bcfd6b4269a275235e58.jpg,cat - abyssinian
45,../Data/preprocessed\cat - abyssinian\Abyssinian_117_jpg.rf.12a48846d7437567e304bb9a52afe46a.jpg,cat - abyssinian
46,../Data/preprocessed\cat - abyssinian\Abyssinian_117_jpg.rf.b8c5c203273e1fcd3fd87045cfa918b5.jpg,cat - abyssinian
47,../Data/preprocessed\cat - abyssinian\Abyssinian_118_jpg.rf.38249f304cd9c4b93119885f288f0127.jpg,cat - abyssinian
48,../Data/preprocessed\cat - abyssinian\Abyssinian_118_jpg.rf.594b4f6ceccbffd64e51e48bb942ad91.jpg,cat - abyssinian
49,../Data/preprocessed\cat - abyssinian\Abyssinian_118_jpg.rf.ee8d7909e147551bd5fe4e7a2ca7265e.jpg,cat - abyssinian
50,../Data/preprocessed\cat - abyssinian\Abyssinian_119_jpg.rf.5a83295d82bc2e27c1da657f81d9d706.jpg,cat - abyssinian
51,../Data/preprocessed\cat - abyssinian\Abyssinian_119_jpg.rf.714aac7e9889db89e37c9364c8cc7f74.jpg,cat - abyssinian
52,../Data/preprocessed\cat - abyssinian\Abyssinian_119_jpg.rf.745088893b00dc3d7ec2f19c7be42983.jpg,cat - abyssinian
53,../Data/preprocessed\cat - abyssinian\Abyssinian_11_jpg.rf.2c94e2957ffcc25673cd8555b07e3090.jpg,cat - abyssinian
54,../Data/preprocessed\cat - abyssinian\Abyssinian_11_jpg.rf.59fe60a7362cdfa9baf12e65e635d5c8.jpg,cat - abyssinian
55,../Data/preprocessed\cat - abyssinian\Abyssinian_11_jpg.rf.925d7afdec2e8f28f3211ee5dc73ccda.jpg,cat - abyssinian
56,../Data/preprocessed\cat - abyssinian\Abyssinian_120_jpg.rf.6052795e3cbeb1eedc631154461df0ca.jpg,cat - abyssinian
57,../Data/preprocessed\cat - abyssinian\Abyssinian_120_jpg.rf.65b63ff47885ba5cc60234eb556406ca.jpg,cat - abyssinian
58,../Data/preprocessed\cat - abyssinian\Abyssinian_120_jpg.rf.7851368534416aec51a2d67691e8a958.jpg,cat - abyssinian
59,../Data/preprocessed\cat - abyssinian\Abyssinian_121_jpg.rf.11f6b4b7e128deeac517ee21e4efd170.jpg,cat - abyssinian
60,../Data/preprocessed\cat - abyssinian\Abyssinian_121_jpg.rf.68625e7f55b86f2e7a66c3df2aaa1fab.jpg,cat - abyssinian
61,../Data/preprocessed\cat - abyssinian\Abyssinian_121_jpg.rf.fc55012c88b38fb6b0b97fa72d2f4c49.jpg,cat - abyssinian
62,../Data/preprocessed\cat - abyssinian\Abyssinian_122_jpg.rf.8838aa5fadf6ca722a5ce5d7a64de16d.jpg,cat - abyssinian
63,../Data/preprocessed\cat - abyssinian\Abyssinian_122_jpg.rf.9882551fd5ff7a86900324bad3614d27.jpg,cat - abyssinian
64,../Data/preprocessed\cat - abyssinian\Abyssinian_122_jpg.rf.d0f30dd307d49ebac773bed48ec0cfd2.jpg,cat - abyssinian
65,../Data/preprocessed\cat - abyssinian\Abyssinian_123_jpg.rf.4ebf183e83a2f74d5550a84a36e3782a.jpg,cat - abyssinian
66,../Data/preprocessed\cat - abyssinian\Abyssinian_123_jpg.rf.83a2d1679d520634da81ea1ed013eeb6.jpg,cat - abyssinian
67,../Data/preprocessed\cat - abyssinian\Abyssinian_123_jpg.rf.aa5c25d2cfbf411a95adcd610f9a6258.jpg,cat - abyssinian
68,../Data/preprocessed\cat - abyssinian\Abyssinian_124_jpg.rf.061dc4b6782e53e8792ffd82f91b103b.jpg,cat - abyssinian
69,../Data/preprocessed\cat - abyssinian\Abyssinian_124_jpg.rf.250f3ba18503aa008b66b5c5bcc4eeab.jpg,cat - abyssinian
70,../Data/preprocessed\cat - abyssinian\Abyssinian_124_jpg.rf.2a8aaf1ffa9093608e37530645dd7eb6.jpg,cat - abyssinian
71,../Data/preprocessed\cat - abyssinian\Abyssinian_125_jpg.rf.0e90dd73783a5d1beae0d28381e10c0c.jpg,cat - abyssinian
72,../Data/preprocessed\cat - abyssinian\Abyssinian_125_jpg.rf.264c000e14163832da8e7f1985d91904.jpg,cat - abyssinian
73,../Data/preprocessed\cat - abyssinian\Abyssinian_125_jpg.rf.e4edb3bae1398d8ec5d0d9319b7c601d.jpg,cat - abyssinian
74,../Data/preprocessed\cat - abyssinian\Abyssinian_126_jpg.rf.0dc0fabe957a2acc0cc5eb7c7c42665a.jpg,cat - abyssinian
75,../Data/preprocessed\cat - abyssinian\Abyssinian_126_jpg.rf.438295d75a9b9b40b2c9d93f33a65680.jpg,cat - abyssinian
76,../Data/preprocessed\cat - abyssinian\Abyssinian_126_jpg.rf.f080091add81ba495d93fe32047c62c7.jpg,cat - abyssinian
77,../Data/preprocessed\cat - abyssinian\Abyssinian_127_jpg.rf.4c6e975aa90287b49eaf85a9ac3d19f1.jpg,cat - abyssinian
78,../Data/preprocessed\cat - abyssinian\Abyssinian_127_jpg.rf.59fb78a40a686d6e5fdcb30dc6149ffb.jpg,cat - abyssinian
79,../Data/preprocessed\cat - abyssinian\Abyssinian_127_jpg.rf.f24046a62d58a39783ab8b5648738858.jpg,cat - abyssinian
80,../Data/preprocessed\cat - abyssinian\Abyssinian_128_jpg.rf.312b41a17d5e7b30bb521515715d94df.jpg,cat - abyssinian
81,../Data/preprocessed\cat - abyssinian\Abyssinian_128_jpg.rf.6b7d1adafe1c809796164a909663df62.jpg,cat - abyssinian
82,../Data/preprocessed\cat - abyssinian\Abyssinian_128_jpg.rf.f39ce91834906a6a9d18d7a1eb23a6a9.jpg,cat - abyssinian
83,../Data/preprocessed\cat - abyssinian\Abyssinian_129_jpg.rf.293b72d8ffa1821a13ee2521e650de98.jpg,cat - abyssinian
84,../Data/preprocessed\cat - abyssinian\Abyssinian_129_jpg.rf.77410bce618df7108b1398b8576d6376.jpg,cat - abyssinian
85,../Data/preprocessed\cat - abyssinian\Abyssinian_129_jpg.rf.7a32513bc8547575f5c8cb1bb8cbf447.jpg,cat - abyssinian
86,../Data/preprocessed\cat - abyssinian\Abyssinian_12_jpg.rf.30d3ddb34409758955d1be9126358519.jpg,cat - abyssinian
87,../Data/preprocessed\cat - abyssinian\Abyssinian_12_jpg.rf.4e43de47afa55c0c4b61045437da417e.jpg,cat - abyssinian
88,../Data/preprocessed\cat - abyssinian\Abyssinian_12_jpg.rf.9adf32bc6cf140a21e69c29e6203d2d4.jpg,cat - abyssinian
89,../Data/preprocessed\cat - abyssinian\Abyssinian_130_jpg.rf.2b9ad9b786d0aeef877243054d5e0da9.jpg,cat - abyssinian
90,../Data/preprocessed\cat - abyssinian\Abyssinian_130_jpg.rf.f75c56c16d5cf4783f5b81d602cdcffb.jpg,cat - abyssinian
91,../Data/preprocessed\cat - abyssinian\Abyssinian_130_jpg.rf.fd09572285fd52c1a3d24c474c4ee1d8.jpg,cat - abyssinian
92,../Data/preprocessed\cat - abyssinian\Abyssinian_132_jpg.rf.69b79d4d6ee09883ff9149cd15e59868.jpg,cat - abyssinian
93,../Data/preprocessed\cat - abyssinian\Abyssinian_132_jpg.rf.8ac5210422ace2013f4bea81077ce4b1.jpg,cat - abyssinian
94,../Data/preprocessed\cat - abyssinian\Abyssinian_132_jpg.rf.a67f8c49a0727ecf228806401fe1e96b.jpg,cat - abyssinian
95,../Data/preprocessed\cat - abyssinian\Abyssinian_133_jpg.rf.4b0e26c04fbd3cfd9d04e7761c480817.jpg,cat - abyssinian
96,../Data/preprocessed\cat - abyssinian\Abyssinian_133_jpg.rf.8aa076c24abc17b55cefedca5b18270e.jpg,cat - abyssinian
97,../Data/preprocessed\cat - abyssinian\Abyssinian_133_jpg.rf.c633be08cc6793c7b0431a1b7e64c63e.jpg,cat - abyssinian
98,../Data/preprocessed\cat - abyssinian\Abyssinian_134_jpg.rf.0615fa7037adea611bbe3835d359ff3d.jpg,cat - abyssinian
99,../Data/preprocessed\cat - abyssinian\Abyssinian_134_jpg.rf.d57b635d2e94d0e0848f50eadc84b1d8.jpg,cat - abyssinian
100,../Data/preprocessed\cat - abyssinian\Abyssinian_134_jpg.rf.f596a656a939dee68b46b9cdfbc1c230.jpg,cat - abyssinian
101,../Data/preprocessed\cat - abyssinian\Abyssinian_135_jpg.rf.1a332e10e3405609300f4d3e015fa771.jpg,cat - abyssinian
102,../Data/preprocessed\cat - abyssinian\Abyssinian_135_jpg.rf.d4d22b10c6580d0bd85560f94884d7bd.jpg,cat - abyssinian
103,../Data/preprocessed\cat - abyssinian\Abyssinian_135_jpg.rf.ed769dea0694000842a60febd37cd0ff.jpg,cat - abyssinian
104,../Data/preprocessed\cat - abyssinian\Abyssinian_136_jpg.rf.5cb83b75de1cb84121aa0dcde4d885c7.jpg,cat - abyssinian
105,../Data/preprocessed\cat - abyssinian\Abyssinian_136_jpg.rf.6dbd1d68773ddeada0b3f11da81600c1.jpg,cat - abyssinian
106,../Data/preprocessed\cat - abyssinian\Abyssinian_136_jpg.rf.e8c3e8023ff63aad6653d908445b9714.jpg,cat - abyssinian
107,../Data/preprocessed\cat - abyssinian\Abyssinian_137_jpg.rf.49f51f11bed3e4e3307f13c122b6c3a5.jpg,cat - abyssinian
108,../Data/preprocessed\cat - abyssinian\Abyssinian_137_jpg.rf.81930b7abeef8efe4c8a80c0fa9103f8.jpg,cat - abyssinian
109,../Data/preprocessed\cat - abyssinian\Abyssinian_137_jpg.rf.a962cdbfebc6a268bd9ad53aadf715bd.jpg,cat - abyssinian
110,../Data/preprocessed\cat - abyssinian\Abyssinian_139_jpg.rf.52785825c9961d897ec15d81d00e00d5.jpg,cat - abyssinian
111,../Data/preprocessed\cat - abyssinian\Abyssinian_139_jpg.rf.61ee59b3749792b6b91438213c78220e.jpg,cat - abyssinian
112,../Data/preprocessed\cat - abyssinian\Abyssinian_139_jpg.rf.8b0a5975e0ca1f6039af16974636348b.jpg,cat - abyssinian
113,../Data/preprocessed\cat - abyssinian\Abyssinian_13_jpg.rf.52a5281f47068bea230b08f7af99b44e.jpg,cat - abyssinian
114,../Data/preprocessed\cat - abyssinian\Abyssinian_13_jpg.rf.7c7d14ecddc641a162d4133f7c418738.jpg,cat - abyssinian
115,../Data/preprocessed\cat - abyssinian\Abyssinian_13_jpg.rf.e766f4f6dbff1af421a944290b4ea083.jpg,cat - abyssinian
116,../Data/preprocessed\cat - abyssinian\Abyssinian_140_jpg.rf.25a2a6c6f38f6f4576cb704b387b5fa3.jpg,cat - abyssinian
117,../Data/preprocessed\cat - abyssinian\Abyssinian_140_jpg.rf.2e3e326e782b995d4217dca4f1a3fc13.jpg,cat - abyssinian
118,../Data/preprocessed\cat - abyssinian\Abyssinian_140_jpg.rf.6064d94abc3e3d29680fc28853e36842.jpg,cat - abyssinian
119,../Data/preprocessed\cat - abyssinian\Abyssinian_141_jpg.rf.0d25fbf612ea1bf6e56ff2ab0731d69c.jpg,cat - abyssinian
120,../Data/preprocessed\cat - abyssinian\Abyssinian_141_jpg.rf.b0532e6adbad89f8d87209fda1fa0325.jpg,cat - abyssinian
121,../Data/preprocessed\cat - abyssinian\Abyssinian_141_jpg.rf.e7876a0002de9f2dec97f9a377ab052f.jpg,cat - abyssinian
122,../Data/preprocessed\cat - abyssinian\Abyssinian_142_jpg.rf.76336fa10c489c6d956136d2ee8fe2e8.jpg,cat - abyssinian
123,../Data/preprocessed\cat - abyssinian\Abyssinian_142_jpg.rf.db2bf3fba5d5329b322c687bea1d924a.jpg,cat - abyssinian
124,../Data/preprocessed\cat - abyssinian\Abyssinian_142_jpg.rf.ecb8d772f0ade07e928ce38fb39f7572.jpg,cat - abyssinian
125,../Data/preprocessed\cat - abyssinian\Abyssinian_143_jpg.rf.27a16ceda0c4a10153e696573684779c.jpg,cat - abyssinian
126,../Data/preprocessed\cat - abyssinian\Abyssinian_143_jpg.rf.71fba2ee69ce9852f02384b20cf6b52b.jpg,cat - abyssinian
127,../Data/preprocessed\cat - abyssinian\Abyssinian_143_jpg.rf.7ffce39225e45aa7c1aa021744e461ca.jpg,cat - abyssinian
128,../Data/preprocessed\cat - abyssinian\Abyssinian_144_jpg.rf.713fde9ea515053ce0f608ad6f78d816.jpg,cat - abyssinian
129,../Data/preprocessed\cat - abyssinian\Abyssinian_144_jpg.rf.d04cd9e8a74c5a78b0a1ebaa35e35e6c.jpg,cat - abyssinian
130,../Data/preprocessed\cat - abyssinian\Abyssinian_144_jpg.rf.f42e3a0259a20869e3cc7ef3ba22e8e7.jpg,cat - abyssinian
131,../Data/preprocessed\cat - abyssinian\Abyssinian_145_jpg.rf.2cb326a8e25ccf4db0b3b6a46ef3401f.jpg,cat - abyssinian
132,../Data/preprocessed\cat - abyssinian\Abyssinian_145_jpg.rf.690ac5dd321dc94f03e1c65cb0013066.jpg,cat - abyssinian
133,../Data/preprocessed\cat - abyssinian\Abyssinian_145_jpg.rf.889916b6adf076622f8de6e97f99e3e6.jpg,cat - abyssinian
134,../Data/preprocessed\cat - abyssinian\Abyssinian_146_jpg.rf.0c01d12159e55f48472e9025b5fe7c14.jpg,cat - abyssinian
135,../Data/preprocessed\cat - abyssinian\Abyssinian_146_jpg.rf.35f8689a3e4bf21bc27b8ed071c29f6b.jpg,cat - abyssinian
136,../Data/preprocessed\cat - abyssinian\Abyssinian_146_jpg.rf.52e365f8edc29d292028a1a8aa8df04a.jpg,cat - abyssinian
137,../Data/preprocessed\cat - abyssinian\Abyssinian_149_jpg.rf.176432370ab130305ef06fdb15e93084.jpg,cat - abyssinian
138,../Data/preprocessed\cat - abyssinian\Abyssinian_149_jpg.rf.34c2caaa8e712a6765ce51de79fe801f.jpg,cat - abyssinian
139,../Data/preprocessed\cat - abyssinian\Abyssinian_149_jpg.rf.7a6741405d5f73c83b9f19b5e17e8dfc.jpg,cat - abyssinian
140,../Data/preprocessed\cat - abyssinian\Abyssinian_14_jpg.rf.4482c985c017f5a3e76dd770f1b09f89.jpg,cat - abyssinian
141,../Data/preprocessed\cat - abyssinian\Abyssinian_14_jpg.rf.865f1b166d225738b90e6ca47b1dd123.jpg,cat - abyssinian
142,../Data/preprocessed\cat - abyssinian\Abyssinian_14_jpg.rf.dad8b00f1f2776d4127645c05150f8cc.jpg,cat - abyssinian
143,../Data/preprocessed\cat - abyssinian\Abyssinian_150_jpg.rf.4745abcc9dfab8b3df64826278d00065.jpg,cat - abyssinian
144,../Data/preprocessed\cat - abyssinian\Abyssinian_150_jpg.rf.7c8236a3f195cb844ca98af36baa702d.jpg,cat - abyssinian
145,../Data/preprocessed\cat - abyssinian\Abyssinian_150_jpg.rf.da4f9b446bb8c4c16fdec64ce383678d.jpg,cat - abyssinian
146,../Data/preprocessed\cat - abyssinian\Abyssinian_151_jpg.rf.24f411f227505575c346ba24f644c049.jpg,cat - abyssinian
147,../Data/preprocessed\cat - abyssinian\Abyssinian_151_jpg.rf.687303423b40fe93a7e0ee52dbc78045.jpg,cat - abyssinian
148,../Data/preprocessed\cat - abyssinian\Abyssinian_151_jpg.rf.b3bee22aa474ffdc61c5e6d60635bc77.jpg,cat - abyssinian
149,../Data/preprocessed\cat - abyssinian\Abyssinian_152_jpg.rf.127af6d61ca03dc046c52f8d4bb35b93.jpg,cat - abyssinian
150,../Data/preprocessed\cat - abyssinian\Abyssinian_152_jpg.rf.48ca590fa1e49e24a99c16a5bbc413ba.jpg,cat - abyssinian
151,../Data/preprocessed\cat - abyssinian\Abyssinian_152_jpg.rf.ac49d12235be10777b3f073f9f8cd483.jpg,cat - abyssinian
152,../Data/preprocessed\cat - abyssinian\Abyssinian_153_jpg.rf.9dbea5bb0154732aa1aa4964a221b960.jpg,cat - abyssinian
153,../Data/preprocessed\cat - abyssinian\Abyssinian_153_jpg.rf.9fff19399cbe1ba357386136c32c226e.jpg,cat - abyssinian
154,../Data/preprocessed\cat - abyssinian\Abyssinian_153_jpg.rf.c6348819e278b0c77f4c078c4513606b.jpg,cat - abyssinian
155,../Data/preprocessed\cat - abyssinian\Abyssinian_155_jpg.rf.3b9db24519df4dba4360d18c9a7c5f61.jpg,cat - abyssinian
156,../Data/preprocessed\cat - abyssinian\Abyssinian_155_jpg.rf.991530fa2fbbb7071e154798b687a47a.jpg,cat - abyssinian
157,../Data/preprocessed\cat - abyssinian\Abyssinian_155_jpg.rf.a9f86828c3d54f001f215485302a7a90.jpg,cat - abyssinian
158,../Data/preprocessed\cat - abyssinian\Abyssinian_156_jpg.rf.024c941b9d44d02c84d3fed8a730ab5d.jpg,cat - abyssinian
159,../Data/preprocessed\cat - abyssinian\Abyssinian_156_jpg.rf.55625479ec5af0d1a1a4447c7984cb20.jpg,cat - abyssinian
160,../Data/preprocessed\cat - abyssinian\Abyssinian_156_jpg.rf.6d195dd2d165a9b5e1782953935b92b7.jpg,cat - abyssinian
161,../Data/preprocessed\cat - abyssinian\Abyssinian_157_jpg.rf.78fdc08e700aa54f32486a4d1fdbcaa5.jpg,cat - abyssinian
162,../Data/preprocessed\cat - abyssinian\Abyssinian_157_jpg.rf.ab5300c29ce900017fe5e3771d8603fd.jpg,cat - abyssinian
163,../Data/preprocessed\cat - abyssinian\Abyssinian_157_jpg.rf.d85464d31bab9d93eb1e1f40db30d877.jpg,cat - abyssinian
164,../Data/preprocessed\cat - abyssinian\Abyssinian_158_jpg.rf.3f54e4de479007815d1c5672b7e71127.jpg,cat - abyssinian
165,../Data/preprocessed\cat - abyssinian\Abyssinian_158_jpg.rf.bb891f68f9aa40ed20e1a18100eb2c8a.jpg,cat - abyssinian
166,../Data/preprocessed\cat - abyssinian\Abyssinian_158_jpg.rf.cf23e7a515200e2b18905de1d89fab55.jpg,cat - abyssinian
167,../Data/preprocessed\cat - abyssinian\Abyssinian_15_jpg.rf.1efd4aa9030ad925f4576338c4c001b3.jpg,cat - abyssinian
168,../Data/preprocessed\cat - abyssinian\Abyssinian_15_jpg.rf.5110a9e1f08dc3ba2c23153263c2e174.jpg,cat - abyssinian
169,../Data/preprocessed\cat - abyssinian\Abyssinian_15_jpg.rf.8df0cd7ee7bcd8bb02eb0175925334ed.jpg,cat - abyssinian
170,../Data/preprocessed\cat - abyssinian\Abyssinian_160_jpg.rf.1043dfded1c5a5298febee720002a4a4.jpg,cat - abyssinian
171,../Data/preprocessed\cat - abyssinian\Abyssinian_160_jpg.rf.89ce8990108155d16a956638bc7770a3.jpg,cat - abyssinian
172,../Data/preprocessed\cat - abyssinian\Abyssinian_160_jpg.rf.cdc1a1155e77433c1b2f1e91855432a7.jpg,cat - abyssinian
173,../Data/preprocessed\cat - abyssinian\Abyssinian_161_jpg.rf.40b66d9fb935621719669ef9cf6e4d00.jpg,cat - abyssinian
174,../Data/preprocessed\cat - abyssinian\Abyssinian_161_jpg.rf.584ff78c1501cf4c66f689474610fbfe.jpg,cat - abyssinian
175,../Data/preprocessed\cat - abyssinian\Abyssinian_161_jpg.rf.960505e59e58c029896d1c2ec2c0f193.jpg,cat - abyssinian
176,../Data/preprocessed\cat - abyssinian\Abyssinian_166_jpg.rf.22a34ab384f66275077838838b186e81.jpg,cat - abyssinian
177,../Data/preprocessed\cat - abyssinian\Abyssinian_166_jpg.rf.3d20651e842280df0379f0b41a3b44c5.jpg,cat - abyssinian
178,../Data/preprocessed\cat - abyssinian\Abyssinian_166_jpg.rf.4beafb33bfcd401cd6cb012a352c0524.jpg,cat - abyssinian
179,../Data/preprocessed\cat - abyssinian\Abyssinian_167_jpg.rf.797607b0cf2433b5062bfbe858e7ef0a.jpg,cat - abyssinian
180,../Data/preprocessed\cat - abyssinian\Abyssinian_167_jpg.rf.e47c021a4bed88cce3171e6677198530.jpg,cat - abyssinian
181,../Data/preprocessed\cat - abyssinian\Abyssinian_167_jpg.rf.eac48010f7a5be41e1701ba9d7869a09.jpg,cat - abyssinian
182,../Data/preprocessed\cat - abyssinian\Abyssinian_169_jpg.rf.66eb81480af94ece6fd530965c2c9bfc.jpg,cat - abyssinian
183,../Data/preprocessed\cat - abyssinian\Abyssinian_169_jpg.rf.9d095b08837d4fde8b7026625da16cdb.jpg,cat - abyssinian
184,../Data/preprocessed\cat - abyssinian\Abyssinian_169_jpg.rf.e5eec32cbafb4ab969ac6d241c4b8e86.jpg,cat - abyssinian
185,../Data/preprocessed\cat - abyssinian\Abyssinian_16_jpg.rf.55e9c16267a2bfcf3c42767204b1f8e4.jpg,cat - abyssinian
186,../Data/preprocessed\cat - abyssinian\Abyssinian_16_jpg.rf.64ddcccfa5c9e3595c0c8b99c62e6f8e.jpg,cat - abyssinian
187,../Data/preprocessed\cat - abyssinian\Abyssinian_16_jpg.rf.9464118bc8e0360c45f46aaf4de80694.jpg,cat - abyssinian
188,../Data/preprocessed\cat - abyssinian\Abyssinian_172_jpg.rf.09fffb86c086efafe28435f7e9db206c.jpg,cat - abyssinian
189,../Data/preprocessed\cat - abyssinian\Abyssinian_172_jpg.rf.153debbd566267ef507cc80844e9aa6a.jpg,cat - abyssinian
190,../Data/preprocessed\cat - abyssinian\Abyssinian_172_jpg.rf.e1c9982758f4e54404a7368c2bd5b2f5.jpg,cat - abyssinian
191,../Data/preprocessed\cat - abyssinian\Abyssinian_173_jpg.rf.2a73bc549109bfbc283c9f66985c57c1.jpg,cat - abyssinian
192,../Data/preprocessed\cat - abyssinian\Abyssinian_173_jpg.rf.4f82a45a14f012977971efaf0fb8be38.jpg,cat - abyssinian
